# d   N   estimate   stderr
10   64   0   0
10   128   0   0
10   256   0   0
10   512   0   0
10   1024   0   0
10   2048   0   0
10   4096   0   0
10   8192   0   0
10   16384   37831506.5625   26749282.0367
10   32768   28373629.9219   16380772.9695
10   65536   23644691.6016   10573824.1632
10   131072   21280222.4414   7093163.94347
10   262144   17733518.7012   4578643.83828
10   524288   22462457.0215   3643759.64446
10   1048576   20689105.1514   2472738.49716
10   2097152   23644691.6016   1869205.69221
10   4194304   25639712.4554   1376354.94436
10   8388608   24605257.1979   953396.501037
10   16777216   23515384.6944   659054.620315
