# d   N   estimate   stderr
5   64   9003.75   8933.13126262
5   128   18007.5   8861.94979945
5   256   20258.4375   6633.04868839
5   512   14631.09375   4006.08730124
5   1024   16319.296875   2987.19797453
5   2048   14349.7265625   1984.18697214
5   4096   18288.8671875   1578.379788
5   8192   15123.4863281   1017.78843634
5   16384   16037.9296875   740.519565546
5   32768   16653.4204102   533.286267722
5   65536   15897.2460938   368.678543785
5   131072   15633.4643555   258.584047514
5   262144   15749.9679565   183.507501814
5   524288   15700.5088806   129.561215298
5   1048576   15549.9334717   91.1854912182
5   2097152   15646.928215   64.6730664946
5   4194304   15771.1254501   45.906812659
5   8388608   15659.4303703   32.3490886559
5   16777216   15656.510911   22.8721871359
